text,label,scam_category,language,source_dataset,cleaned_text
"Hello ji Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian_cyber_scam_10k,hello ji beta ghar aa gaya hoon darwaza khol do
Namaste ma'am Project ka review meeting kal 4 baje hai kya?,0,none,hinglish,indian_cyber_scam_10k,namaste ma am project ka review meeting kal 4 baje hai kya
Ji namaskar Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,relative,hinglish,indian_cyber_scam_10k,ji namaskar aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
"Ji namaskar Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian_cyber_scam_10k,ji namaskar doctor appointment kal 9 baje hai fasting rehna
"Special Investigation Team se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian_cyber_scam_10k,special investigation team se bol raha hoon amazon se bol raha hoon aapka parcel hold hai clearance charge <amount> dena hoga
"Madam ek minute Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian_cyber_scam_10k,madam ek minute mummy main office pahunch gaya aaj thoda late ho jaunga
"Hello ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian_cyber_scam_10k,hello ma am papa train mein baith gaya hoon safely pahunch jaunga
"Delhi Police se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,hinglish,indian_cyber_scam_10k,delhi police se bol raha hoon amazon se bol raha hoon aapka parcel hold hai clearance charge <amount> dena hoga
Ji namaskar Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,hinglish,indian_cyber_scam_10k,ji namaskar ek gang aapke number ka misuse karke gande videos bana raha hai turant verify karna hoga
"Ji haan suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,aadhaar,hinglish,indian_cyber_scam_10k,ji haan suniye amazon se bol raha hoon aapka parcel hold hai clearance charge <amount> dena hoga
"Police headquarters se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian_cyber_scam_10k,police headquarters se bol raha hoon amazon se bol raha hoon aapka parcel hold hai clearance charge <amount> dena hoga
"Hello sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian_cyber_scam_10k,hello sir papa train mein baith gaya hoon safely pahunch jaunga
"Ji haan suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian_cyber_scam_10k,ji haan suniye sir kal subah 10 baje meeting hai agenda mail kar diya
Aap sun rahe hain na? Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,hinglish,indian_cyber_scam_10k,aap sun rahe hain na aapke aadhaar card ka istemal karke fake sim issue ki gayi hai
"Namaste ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian_cyber_scam_10k,namaste ma am doctor appointment kal 9 baje hai fasting rehna
"Namaste sir Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian_cyber_scam_10k,namaste sir doctor appointment kal 9 baje hai fasting rehna
"Hello ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian_cyber_scam_10k,hello ma am mummy main office pahunch gaya aaj thoda late ho jaunga
Hello sir Police verification complete karna zaroori hai.,1,police_digital_arrest,hinglish,indian_cyber_scam_10k,hello sir police verification complete karna zaroori hai
Hello ji Aapka order deliver ho chuka hai. Feedback de dena.,0,none,hinglish,indian_cyber_scam_10k,hello ji aapka order deliver ho chuka hai feedback de dena
Dhyan se suniye Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,dhyan se suniye aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain ye cyber crime hai
CBI se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,cbi se bol raha hoon aapke whatsapp se ladies ko asleel messages bheje ja rahe hain aapko suspect maana ja raha hai
Ji namaskar Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,ji namaskar aapke phone se illegal obscene content circulate ho raha hai digital arrest ho sakta hai
"Hello ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian_cyber_scam_10k,hello ma am beta ghar aa gaya hoon darwaza khol do
"Aap sun rahe hain na? Beta ghar aa gaya hoon, darwaza khol do.",0,none,hinglish,indian_cyber_scam_10k,aap sun rahe hain na beta ghar aa gaya hoon darwaza khol do
"Sir ek minute suniye Doctor appointment kal 9 baje hai, fasting rehna.",0,none,hinglish,indian_cyber_scam_10k,sir ek minute suniye doctor appointment kal 9 baje hai fasting rehna
Namaste ma'am Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,hinglish,indian_cyber_scam_10k,namaste ma am aapke khilaaf legal action initiate kiya gaya hai
"Madam ek minute Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,hinglish,indian_cyber_scam_10k,madam ek minute sir kal subah 10 baje meeting hai agenda mail kar diya
"Aap sun rahe hain na? Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian_cyber_scam_10k,aap sun rahe hain na mummy main office pahunch gaya aaj thoda late ho jaunga
"Ji namaskar Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian_cyber_scam_10k,ji namaskar papa train mein baith gaya hoon safely pahunch jaunga
ACP Sharma bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,acp sharma bol raha hoon aapke phone se illegal obscene content circulate ho raha hai digital arrest ho sakta hai
"Ji namaskar Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,hinglish,indian_cyber_scam_10k,ji namaskar amazon se bol raha hoon aapka parcel hold hai clearance charge <amount> dena hoga
Inspector Rajesh Kumar bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,hinglish,indian_cyber_scam_10k,inspector rajesh kumar bol raha hoon congratulations aapne <amount> lakh ka lottery jeeta hai processing fee dena hoga
Cyber Crime Department se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,hinglish,indian_cyber_scam_10k,cyber crime department se bol raha hoon aapka kyc pending hai account 2 ghante mein block ho jayega otp share kijiye
Sir ek minute suniye Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,hinglish,indian_cyber_scam_10k,sir ek minute suniye cyber crime department se bol raha hoon aapke number se objectionable content circulate hua hai
"Namaste sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,hinglish,indian_cyber_scam_10k,namaste sir papa train mein baith gaya hoon safely pahunch jaunga
Sir ek minute suniye Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,bank_kyc,hinglish,indian_cyber_scam_10k,sir ek minute suniye aapka aadhaar deactivate hone wala hai turant update kijiye
National Cyber Cell se bol raha hoon. Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,national cyber cell se bol raha hoon aapki morphed photos viral ho rahi hain cyber cell ne case register kar liya hai
Hello ji Cab 3 minute mein pahunch raha hai.,0,none,hinglish,indian_cyber_scam_10k,hello ji cab 3 minute mein pahunch raha hai
"Hello ji Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,hinglish,indian_cyber_scam_10k,hello ji bhai aaj shaam ko milte hain coffee pe baat karte hain
"Ji namaskar Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,hinglish,indian_cyber_scam_10k,ji namaskar mummy main office pahunch gaya aaj thoda late ho jaunga
Dhyan se suniye Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,hinglish,indian_cyber_scam_10k,dhyan se suniye aapke naam par ek criminal complaint register hui hai
Madam ek minute Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,hinglish,indian_cyber_scam_10k,madam ek minute aapki morphed photos viral ho rahi hain cyber cell ne case register kar liya hai
